"Automate the Asgardeo Pre-Flight Check's recurring data-pull tasks log ingestion volume, error counts, API latency, SQL storage growth, KeyVault certificate expiry, AKS pod/node health, weekly cost, and Secure Score. into a scheduled Azure Automation Runbook that queries Log Analytics, ARM, Cost Management, and Key Vault APIs directly and posts a consolidated summary (flagging only threshold breaches) to Teams/ServiceNow, leaving genuinely judgment-based checks (Site24x7 triage, dashboard anomaly-spotting, GitHub/ServiceNow issue review) to the human on-call.",,
task,automatable or not?,original desc
Log Ingestion volume check (Kusto: Usage | summarize TotalVolumeGB...),Automatable. Runbook can call Log Analytics query API (Invoke-AzOperationalInsightsQuery) and email/post results,
Frontdoor traffic by day,"Automatable. Same, Log Analytics query API",
Error Count / Error count by Tenant,"Automatable. Same, Log Analytics query API, can flag if count > threshold",
API Latency check,"Automatable. Same, Log Analytics query API, can alert if avg latency > threshold",
Database growth / storage check (checkAzureSqlDbStorage.sh),"Automatable. This is just az sql db list-usages / ARM SQL API calls — trivially portable to a PowerShell or Python runbook, output to table/email instead of manual script run",
Keystore certificate expiry check,"Automatable. The Kusto query (CertificateNearExpiryEventGridNotification) + the keyvault cert-scanning script are both ARM/KeyVault API calls (Get-AzKeyVaultCertificate across all vaults in a sub) fully automatable, can auto-create a ServiceNow/GitHub task via API when expiry < N days",
Kubernetes pod status / node metrics,"Automatable. Get-AzAks... / kubectl via az aks command invoke (you already use this pattern) can pull pod status and node CPU/mem, flag over-provisioning",
Weekly Cost check,"Automatable. Cost Management API (Invoke-AzCostManagementQuery) can pull weekly spend per subscription and diff against prior week, flag anomalies automatically",
Compliance/Secure Score check,"Automatable. Get-AzSecurityScore / Microsoft Defender for Cloud API fully queryable, can be logged on a schedule",
Archival log size recording,"Automatable. If this is Azure Storage/Blob based, Get-AzStorageBlob or Storage metrics API can record sizes automatically",
"Check staging site 24x7, alerts",-,
"Monitor real-time dashboards for unusual activity (Frontdoor latency, DB CPU/IO patterns)",-,
Review automated security scan outcomes (Defender),-,
GH issue progress check,-,
Review ServiceNow incidents for last 7 daysx,-,
L1/L2 checks on Asgardeo/Nissan PIC deployment,-,
